Name;Market ID;Market Name;ISIN;Symbol;CCY;CSD;Type;ADT (EUR);Large In Scale (Local Currency);Live Date;End Date;TrackInsight A-list
ESKER SA;ALXP;EURONEXT GROWTH FR;FR0000035818;ALESKp;EUR;SA;EQ;375.114;60.000;30. Sep 19;;N
EUROPLASMA;ALXP;EURONEXT GROWTH FR;FR0000044810;ALEUPp;EUR;SA;EQ;580.015;100.000;30. Sep 19;;N
EASYVISTA;ALXP;EURONEXT GROWTH FR;FR0010246322;ALEZVp;EUR;SA;EQ;15.446;15.000;30. Sep 19;;N
FASHION B AIR SA;ALXP;EURONEXT GROWTH FR;FR0004034593;ALFBAp;EUR;SA;EQ;2.902;15.000;30. Sep 19;;N
FOCUS HOME INTERACTIVE;ALXP;EURONEXT GROWTH FR;FR0012419307;ALFOCp;EUR;SA;EQ;336.255;60.000;30. Sep 19;;N
FOUNTAINE PAJOT SA;ALXP;EURONEXT GROWTH FR;FR0010485268;ALFPCp;EUR;SA;EQ;172.589;60.000;30. Sep 19;;N
FREELANCE.COM;ALXP;EURONEXT GROWTH FR;FR0004187367;ALFREp;EUR;SA;EQ;5.025;15.000;30. Sep 19;;N
GAUSSIN;ALXP;EURONEXT GROWTH FR;FR0010342329;ALGAUp;EUR;SA;EQ;1.437.949;200.000;30. Sep 19;;N
GLOBAL BIOENERGIES SA;ALXP;EURONEXT GROWTH FR;FR0011052257;ALGBEp;EUR;SA;EQ;138.979;60.000;30. Sep 19;;N
EUROGERM;ALXP;EURONEXT GROWTH FR;FR0010452474;ALGEMp;EUR;SA;EQ;17.591;15.000;30. Sep 19;;N
GENOWAY SA;ALXP;EURONEXT GROWTH FR;FR0004053510;ALGENp;EUR;SA;EQ;16.936;15.000;30. Sep 19;;N
GLOBAL ECOPOWER-REGR;ALXP;EURONEXT GROWTH FR;FR0011289198;ALGEPp;EUR;SA;EQ;23.645;15.000;30. Sep 19;;N
GROUPE GUILLIN;ALXP;EURONEXT GROWTH FR;FR0012819381;ALGILp;EUR;SA;EQ;605.251;100.000;30. Sep 19;;N
GROUPE HIOLLE INDUSTRIES;ALXP;EURONEXT GROWTH FR;FR0000077562;ALHIOp;EUR;SA;EQ;9.807;15.000;30. Sep 19;;N
HERIGE;ALXP;EURONEXT GROWTH FR;FR0000066540;ALHRGp;EUR;SA;EQ;94.749;30.000;30. Sep 19;;N
HORIZONTAL SOFTWARE SA;ALXP;EURONEXT GROWTH FR;FR0013219367;ALHSWp;EUR;SA;EQ;2.099;15.000;30. Sep 19;;N
HARVEST;ALXP;EURONEXT GROWTH FR;FR0010207795;ALHVSp;EUR;SA;EQ;51.411;30.000;30. Sep 19;;N
HYBRIGENICS SA;ALXP;EURONEXT GROWTH FR;FR0004153930;ALHYGp;EUR;SA;EQ;123.509;60.000;30. Sep 19;;N
I CERAM;ALXP;EURONEXT GROWTH FR;FR0011511971;ALICRp;EUR;SA;EQ;14.781;15.000;30. Sep 19;;N
IDSUD;ALXP;EURONEXT GROWTH FR;FR0000062184;ALIDSp;EUR;SA;EQ;23.316;15.000;30. Sep 19;;N
IMPLANET;ALXP;EURONEXT GROWTH FR;FR0010458729;ALIMPp;EUR;SA;EQ;89.997;30.000;30. Sep 19;;N
INTRASENSE SAS;ALXP;EURONEXT GROWTH FR;FR0011179886;ALINSp;EUR;SA;EQ;192.696;60.000;30. Sep 19;;N
INTEGRAGEN;ALXP;EURONEXT GROWTH FR;FR0010908723;ALINTp;EUR;SA;EQ;39.249;15.000;30. Sep 19;;N
KALRAY SADIR;ALXP;EURONEXT GROWTH FR;FR0010722819;ALKALp;EUR;SA;EQ;53.826;30.000;30. Sep 19;;N
